"action.activitystream.comment","コメントを書く"
"com.orchestral.rhapsody.modules.codevalidation.i18n.storedkey_4_2.identifierwithcodingsystemnotfoundindb","識別子: ''{0}'' と {2}: ''{1}'' がDBに見つかりません"
"com.orchestral.rhapsody.modules.codevalidation.i18n.storedkey_4_2.internalerror","内部エラー"
"com.orchestral.rhapsody.modules.codevalidation.i18n.storedkey_4_2.logprogress","ヒット={0} ミス={1} エラー={2}."
"com.orchestral.rhapsody.modules.codevalidation.i18n.storedkey_4_2.messageelementcannotbenull","MessageElementCodedField's MessageElement を null にできません"
"com.orchestral.rhapsody.modules.codevalidation.i18n.storedkey_4_2.multiplerowsreturned","複数のローが識別子いに対して返されましたr:codingSystem ''{0}:{1}'' テーブルから ''{2}''. シングルDBのみがコード翻訳に許可されます"
"com.orchestral.rhapsody.modules.codevalidation.i18n.storedkey_4_2.mustspecifycodingsystemforeachrow","テーブル設定: 各ローに {1} か {2} を指定しなければなりません。テーブル名 = ''{0}''"
"com.orchestral.rhapsody.modules.codevalidation.i18n.storedkey_4_2.mustspecifyidentifiercolumnforeachrow","テーブル設定: 各ローに {1} を指定しなければなりません。テーブル名 = ''{0}''"
"com.orchestral.rhapsody.modules.codevalidation.i18n.storedkey_4_2.mustspecifytablenameforeachrow","テーブル設定: 各ローに {0} を指定しなければなりません"
"com.orchestral.rhapsody.modules.codevalidation.i18n.storedkey_4_2.pathinvalidindefinition","パス ''{0}'' が定義 ''{1}'' の中に無効です"
"com.orchestral.rhapsody.modules.codevalidation.i18n.storedkey_4_2.problemwithdatabaseconfiguration","DB設定に問題がありました"
"com.orchestral.rhapsody.modules.codevalidation.i18n.storedkey_4_2.researchcachemustbepassedresearcher","リサーチキャッシュはリサーチャーに引き渡されなければなりません"
"com.orchestral.rhapsody.modules.codevalidation.i18n.storedkey_4_2.rowsintranslationtablemustmatchvalidationtable","翻訳テーブルにある個々のローに、検証テーブルにマッチするローがなければなりません"
"com.orchestral.rhapsody.modules.codevalidation.i18n.storedkey_4_2.sqlerrorcheckingifconnectionclosed","接続がクローズされたかの確認を試行中に SQLException エラーが発生しました"
"com.orchestral.rhapsody.modules.codevalidation.i18n.storedkey_4_2.sqlerrorclosingconnection","接続の遮断を試行中に SQLException エラーが発生しました"
"com.orchestral.rhapsody.modules.codevalidation.i18n.storedkey_4_2.sqlerrordoingidentifierresearch","識別子リサーチ中に SQL エラーが発生しました"
"com.orchestral.rhapsody.modules.codevalidation.i18n.storedkey_4_2.tablecannotbenull","テーブルを null にできません"
"com.orchestral.rhapsody.modules.codevalidation.i18n.storedkey_4_2.tablemustnotbeemptystring","テーブルを空白の文字列にできません"
"com.orchestral.rhapsody.modules.codevalidation.i18n.storedkey_4_2.tablenamecannotbenull","引数: tableName を null にできません"
"com.orchestral.rhapsody.modules.codevalidation.i18n.storedkey_4_2.translationbehaviourisnotrecognised","設定に与えられた {0} が認識されません"
"com.orchestral.rhapsody.modules.codevalidation.i18n.storedkey_4_2.unabletolocatedefinition","定義を設置することが見つかりません"
"com.orchestral.rhapsody.modules.codevalidation.i18n.storedkey_4_2.wrongdbconnectiondriver","DBへの接続を取得できません。指定URLに接続する正しくないドライバー"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.autoincrementpropertyoption","自動インクリメント接続識別子"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.clientpropertyoption","クライアント"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.connectionidentifierspropertydesc","接続トラッキングを使う場合、どのように接続識別子を生成するかを決定します。これによって、再確立後にメッセージが同じ接続に再送されます。このオプションは、コミュニケーションポイントが双方向モードで、且つ送信メッセージが接続再確立されるまで保持するように設定されるときのみに使えます。"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.connectionidentifierspropertyname","接続識別子"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.establishmenttimeoutpropertydesc","新規クライアント接続の確立試行を破棄される前に、タイムアウトの秒数"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.establishmenttimeoutpropertyname","接続の確立がタイムアウトしました"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.keepalivepropertydesc","Keep-Alive期間の秒数。Keep-Aliveが接続に送られ、期間中に接続がアイドルでも動作することを確認します。設定された接続応答タイプアウトの値より小さい場合は、接続の応答タイムアウトとして扱われます"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.keepalivepropertyname","Keep-Alive期間"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.listenbacklogpropertydesc","ほかが拒否される前に、接続を待機できる接続数です。ゼロはシステムの規定値を使うことを意味します"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.listenbacklogpropertyname","バックログを待ちます"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.localaddresspropertydesc","接続を待つローカル・インターフェース（空の場合はすべてのインターフェース）"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.localaddresspropertyname","ローカル・アドレス"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.localportpropertydesc","接続を待つローカル・ポート"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.localportpropertyname","ローカル・ポート"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.modepropertydesc","この通信ポートがクライアント若しくはサーバーとして機能するかを決めます"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.modepropertyname","モード"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.optionalcapabilitiespropertydesc","接続に対するオプション容量。リモートホストのサポートなしに、これらの容量を使って接続を確立します"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.optionalcapabilitiespropertyname","オプションの容量"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.remoteaddressandportpropertyoption","リモートのアクセスとポートを使います"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.remoteaddressonlypropertyoption","リモート・アクセスのみ使います"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.remotehostpropertydesc","接続先リモートホストのホスト名/IPアドレス"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.remotehostpropertyname","リモート・ホスト"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.remoteportpropertydesc","接続先リモートホストのポート番号"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.remoteportpropertyname","リモート・ポート"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.requiredcapabilitiespropertydesc","接続に必要な容量。リモート・ホストがこちらの要求容量に対応しない場合は、接続を確立できません"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.requiredcapabilitiespropertyname","必要な容量"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.responsetimeoutpropertydesc","接続が切断と見なす前にリモート・ホストに与えられた、特定のコマンドにないする応答の秒数。10秒以下のすべての値が10秒と見なされます"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.responsetimeoutpropertyname","接続応答タイムアウト"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.rhapsodyconnectorcommunicationpointname","Rhapsody Connector"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.securekeyspropertydesc","RhapsodyのSSL接続終了を認証する秘密鍵"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.securekeyspropertyname","セキュア・キー"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.serverpropertyoption","サーバー"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.sslpropertyoption","セキュア・ソケット・レイヤー (SSL)"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.sslprotocolpropertydesc","接続を暗号化するSSL若しくはTLSのバージョン、或いは、代わりに非暗号化接続を使用するか。"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.sslprotocolpropertyname","SSL プロトコル・モード"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.sslv2propertyoption","Secure Sockets Layer (SSLv2)"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.sslv3propertyoption","Secure Sockets Layer (SSLv3)"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.tlspropertyoption","Transport Layer Security (TLS)"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.tlsv1propertyoption","Transport Layer Security (TLSv1)"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.trustedcertissuerspropertydesc","認証を発行する証明書が信頼証明書です。これにより、コミュニケーションポイントは権限者が発行するすべての証明書ではなく、一部の証明書を信頼します"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.trustedcertissuerspropertyname","信頼証明書の発行者"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.trustedcertpropertyname","信頼署名書"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.trustedcertspropertydesc","SSL接続のもう一端の信頼証明書。証明書が与えられたなら、リモート・ホストは、これらの証明書にいずれが認証できるキーを使用する必要があります"
"com.orchestral.rhapsody.modules.connector.i18n.connector.configurationkeyprovider_4_2.unencryptedpropertyoption","非暗号化接続"
"com.orchestral.rhapsody.modules.connector.i18n.storedkey_4_2.connectioninerrorstate","接続が {0} 状態です"
"com.orchestral.rhapsody.modules.connector.i18n.storedkey_4_2.erroracceptingnewremoteconnection","新規リモート接続を受け入れ中にエラーが発生しました"
"com.orchestral.rhapsody.modules.connector.i18n.storedkey_4_2.errorclosingchannelforincomingmsg","受信メッセージのチャンネルをクローズ中に I/O エラーが発生しました"
"com.orchestral.rhapsody.modules.connector.i18n.storedkey_4_2.errorcompletingmessage","メッセージを完成中にエラーが発生しました"
"com.orchestral.rhapsody.modules.connector.i18n.storedkey_4_2.errorcreatingnewclientconnection","新規クライアント接続を作成中にエラーが発生しました: {0}"
"com.orchestral.rhapsody.modules.connector.i18n.storedkey_4_2.errorcreatingnewserverconnection","新規サーバー接続を作成中にエラーが発生しました: {0}"
"com.orchestral.rhapsody.modules.connector.i18n.storedkey_4_2.errorloadingkeysandcerts","キーと証明書をロード中にエラーが発生しました: {0}"
"com.orchestral.rhapsody.modules.connector.i18n.storedkey_4_2.errorreceivingmessage","メッセージを受信中にエラーが発生しました"
"com.orchestral.rhapsody.modules.connector.i18n.storedkey_4_2.errorsendingmessage","メッセージを送信中にエラーが発生しました"
"com.orchestral.rhapsody.modules.connector.i18n.storedkey_4_2.illegalremoteportspecified","不正な {0} ''{1,number,####}'' が、コミュニケーションポイントの設定中に指定されました"
"com.orchestral.rhapsody.modules.connector.i18n.storedkey_4_2.invalidconnectionestablishmenttimeout","無効な {0} ''{1}'' が指定されました"
"com.orchestral.rhapsody.modules.connector.i18n.storedkey_4_2.invalidsslmode","無効な SSL モード ''{0}''."
"com.orchestral.rhapsody.modules.connector.i18n.storedkey_4_2.messagerolledbackbyremotehost","メッセージがリモート・ホストをロールバックしました"
"com.orchestral.rhapsody.modules.connector.i18n.storedkey_4_2.securityerrorloadingkeysandcerts","キーと証明書をロード中にセキュリティ・エラーが発生しました: {0}"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.bodytypeoption","本文"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.columnnameheader","カラム名"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.columnvaluesinsertionpropertydesc","The columns in the database table to insert into or update and the type and value of the data to insert into those columns."
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.columnvaluesinsertionpropertyname","カラム値"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.configurationfilepropertydesc","設定ファイルの名前"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.configurationfilepropertyname","設定ファイル"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.databasecommunicationpointname","Database"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.databaseinsertercommunicationpointname","Database Insertion"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.databaselookupfiltername","Database LookUp"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.databasenamepropertydesc","MSアクセスが使われた場合のDB名若しくはDBソース名"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.databasenamepropertyname","DBの名前"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.databasepropertydesc","接続先DB。手動設定にした場合は、JDBCドライバーとDB URLが設定 xml ファイルに規定する必要があります"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.databasepropertyname","DB"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.databasequeryfiltername","Database Message Extraction"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.databasetablepropertydesc","それぞれのメッセージの情報挿入先のDBテーブル名"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.databasetablepropertyname","DBテーブル"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.databaseurlpropertydesc","接続先のDBのURL"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.databaseurlpropertyname","DB URL"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.deadlockoptionpropertydesc","デッドロックを接続エラー (true)、若しくはメッセージ・エラー (false)として扱いますか"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.deadlockoptionpropertyname","デッドロックを接続エラーとして扱います"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.definitionpropertydesc","構文解析中に使うメッセージ定義"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.definitionpropertyname","定義"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.driverpropertydesc","JDBCドライバー・クラスの名前"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.driverpropertyname","JDBC Driver"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.equaloperatoroption","等しい"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.fieldtranslatorfiltername","Generic Code Translation"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.fieldtranslatormessagebodypropertydesc","値が挿入される前に、このファイルを受信メッセージの本文と置き換えます"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.fieldtranslatormessagebodypropertyname","メッセージ・ファイル"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.fieldtranslatortablepropertydesc","ルックアップするDBの中のテーブル名"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.fieldtranslatortablepropertyname","DBテーブル"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.fieldtypeoption","フィールド"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.filterretryattemptspropertydesc","DBのデッドロック・エラーが発生した場合のリトライ試行回数"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.filterretryattemptspropertyname","リトライ試行"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.filterretrydelaypropertydesc","DBデッドロックが発生した場合のリトライ間の遅延 (ms)。最大設定可能な値は 5000 msです"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.filterretrydelaypropertyname","リトライ遅延"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.hostpropertydesc","The hostname/IP address of the database to connect to."
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.hostpropertyname","ホスト"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.insertmodeoption","挿入"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.isoperatoroption","が"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.keyfieldpropertydesc","テーブル・カラムがフィールド・データを含むフィールド・リスト: 全てのカラム名が 'where' の条項に使用され ""AND""オペレーターと接続されます"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.keyfieldpropertyheader0","KeyField"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.keyfieldpropertyheader1","KeyColumn"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.keyfieldpropertyname","Key Field Mappings"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.likeoperatoroption","Like"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.literaltypeoption","Literal"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.messagebodycolumnpropertydesc","メッセージ本文カラム・プロパティが通常XMLメッセージ・フォーマットを上書きし、ノミネートされたカラムをメッセージ本文とします。ほかに全てのカラムがプロパティとして添付されます。
詳しくはマニュアルに参考してください。"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.messagebodycolumnpropertyname","メッセージ本文カラム"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.messagetypepropertydesc","定義が指定されない場合のインプット・メッセージ・タイプ"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.messagetypepropertyname","メッセージ・タイプ"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.modepropertydesc","コミュニケーションポイントがテーブルに新しいローを挿入する、それとも、既存ローを更新しますか？"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.modepropertyname","モード"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.notequaloperatoroption","等しくない"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.nulltypeoption","Null "
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.operatorheader","オペレーター"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.passwordpropertydesc","DBにログインするパスワード"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.passwordpropertyname","パスワード"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.plaintextoption","テキスト形式"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.portpropertydesc","DB上の接続ポート番号"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.portpropertyname","ポート"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.propertytypeoption","プロパティ"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.querytimeoutoptionpropertydesc","クエリ・タイムアウトを接続エラー (true)、 それともメッセージ・エラー (false) として扱いますか？"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.querytimeoutoptionpropertyname","クエリ・タイムを接続エラーと扱います"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.querytimeoutpropertydesc","数秒後にクエリ・タイムアウト制限。ゼロは無制限を意味します"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.querytimeoutpropertyname","クエリ・タイムアウト"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.substitutefieldpropertydesc","新規データの挿入先のフィール、及び挿入データを持つテーブル・カラムのリスト"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.substitutefieldpropertyheader0","SubstituteField"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.substitutefieldpropertyheader1","LookUpColumn"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.substitutefieldpropertyname","代替えフィールド・マッピング"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.timestamptypeoption","タイムスタンプ"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.typeheader","タイプ"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.updatemodeoption","更新"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.updatevaluesinsertionpropertydesc","更新宣言文の 'Where' 向上に使われる条件"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.updatevaluesinsertionpropertyname","Where 条項を更新します"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.usernamepropertydesc","DBにログインするユーザー名"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.usernamepropertyname","ユーザー名"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.valueheader","値"
"com.orchestral.rhapsody.modules.database.i18n.configuration.configurationkeyprovider_4_2.xmloption","XML"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.allconnectionsclosed","全ての接続がクローズされました"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.allprocessingcompletedsuccessfully","全ての処理が完了できました"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.askingtreewalkertocloseallconnections","SQL ツリー・ウォーカーに全ての接続のクローズを要求します"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.attemptingtorestartconnection","以前に全てのDB接続を終了しました。接続の再起動を試行しています"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.attributeisempty","属性 ''{0}'' が空です"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.beginningexecutionforthestatement","宣言文 ''{0}'' の実行を開始します"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.buildingparammapformessage","コンテキスにあるメッセージの引数マップを構築しています..."
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.cannotbenegative","''{0}'' のプロパティが負数にできません"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.cannotbeusedasnotdeclared","''{0}'' が宣言していないため使えません"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.cannotfindkeycolumninresult","結果にキー・カラムが見つかりません"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.cannotspecifyavalueforthetype","{0} タイプの値を指定できません"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.cannotspecifyemptycolumnname","空のカラム名を指定できません"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.canonlyprocessonemsgatatime","一回につき一メッセージしか処理できません"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.canonlyuseoperatoriswithtypenull","タイプ ''{1}'' と共にオペレーター ''{0}'' しか使えません"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.checkedokondbconnection","DB接続上、OKを確認しました"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.closingconnection","接続をクローズします"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.columntypemustbespecified","カラム・タイプを指定しなければなりません"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.columntypemustbespecifiedinupdatewhereclause","where 条項の更新にカラム・タイプを指定しなければなりません"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.committransactionsfailed","コミット・トランザクションが失敗しました。"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.completedreadingresultrow","結果行の読込みを完了しました: [{0}]"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.configfailedduetodbconnection","DB接続の問題で設定ができません: {0}"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.configshouldcontainatleastoneelement","設定が無効です。少なくとも一つの ''{0}'' 要素が必要です"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.connectiondroppedokattemptingtorestartconnection","接続の切断がOK。接続の再起動を試行しています"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.connectionerrorwhiletransformingstatement","宣言文の変換中に接続エラーが発生しました"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.connectionfailed","接続失敗"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.connectionfailedafterretriesexceeded","全てのリトライが超過後に、接続失敗しました"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.connectionhasbeenlost","接続が切断されたため、SQLクエリを実行できません"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.connectioninerrorstate","接続が ERROR 状態です"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.creatingtreewalker","ツリー・ウォーカーを作成しています..."
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.databaseconnectionisclosed","DB接続 {0} がクローズされました"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.databasekey","DBキー"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.databasekeyname","DBキーの名前 (編集不可)"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.dbconnectionappearslost","DBへの接続が切断された模様です"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.dbconnectionfailedretrynumber","DB接続失敗。リトライ回数 {0}"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.dbconnectionmaybelost","DB接続が切断された可能性があります"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.dberrorsettingkeyvalue","{0} ''{1}'' にキー値を設定中にDB実行例外を捕捉しました"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.dblookupfilternotconfiguredproperly","{0} フィルタが正しく設定されていない可能性があります"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.deadlockdetectedexecutingstatement","宣言文を実行中にデッドロックが検出されました, リトライ待ち:{0}ms リトライ回数:{1}"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.doforerror","DoForError: Err: {0}"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.droppingallconnections","全ての接続を切断しています..."
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.dynamicpropertiesnotsupportedforstoredproc","''{0}'' が無効です。ダイナミック・テーブル/カラム・メッセージ・プロパティがストアドプロシージャに対応されていません"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.dynamicpropertynamenotspecified","ダイナミック・テーブル/カラム・プロパティの名前が指定されていません"
"com.orchestral.rhapsody.modules.database.i18n.storedkey_4_2.elementalreadyexistsinthisstatementelement","{0} がこのコンテキスでは有効なタグではありません。{1} 若しくは {2} 要素が既にこの {3} 要素に存在します"
